_id,lid,place_id,label
928,1,368,House
929,2,368,Car park 
930,3,368,Garden
931,4,368,Park
932,5,368,Park Café
933,6,368,Shop
934,7,368,Chapel tearoom
935,8,368,Second-hand bookshop
936,1,370,Garden and estate
937,2,370,Tea Pavilion
938,3,370,House
939,1,371,House
940,2,371,Guided Tours
941,3,371,Garden
942,4,371,Outbuildings
943,5,371,Park
944,6,371,Shop
945,7,371,Tea-room
946,1,373,Press Room
947,1,372,Countryside
948,2,372,Wasdale Campsite
949,1,374,Countryside
950,1,376,Countryside
951,1,375,Showrooms
952,2,375,Gatehouse tower
953,3,375,Brewhouse Café 
954,4,375,Car park
955,5,375,Park
956,6,375,Bookshop
957,7,375,Toilets 
958,8,375,Royal Oak Foundation conservation studio
959,9,375,Shop
960,1,377,House
961,2,377,Costume collection
962,3,377,Grounds
963,4,377,Visitor centre
964,1,378,House
965,2,378,Garden
966,1,379,Countryside
967,1,380,Woolbeding Gardens
968,1,381,Countryside
969,1,383,Castle
970,2,383,Shop
971,1,384,Rainham Hall
972,2,384,Garden
973,1,385,Strangford Lough
974,1,387,Finch Foundry
975,1,386,Gallery
976,1,389,Countryside
977,1,388,House
978,2,388,Car Park
979,3,388,Respryn car park
980,4,388,Garden
981,5,388,Park Café 
982,6,388,Plant centre
983,7,388,Estate
984,8,388,Cycle trails
985,9,388,Courtyard refreshments
986,10,388,Cycle hire
987,11,388,Shop
988,12,388,Bookshop
989,1,390,Farm house
990,2,390,Garden and grounds
991,3,390,Countryside
992,1,391,Countryside
993,1,393,Hardy Monument 
994,2,393,Car park
995,1,392,Carneddau and Glyderau
996,1,394,House
997,2,394,Kitchen café
998,3,394,Meadow & parterre
999,4,394,Coach House café 
1000,5,394,Park walks
1001,6,394,Engine Room bookshop
1002,1,395,Heath
1003,2,395,Car Park
1004,3,395,Visitor Information
1005,4,395,Tea-room
1006,5,395,Kiosk
1007,1,397,Countryside
1008,1,398,Countryside
1009,1,400,House
1010,2,400,Garden
1011,3,400,Parkland
1012,4,400,Café
1013,1,399,House
1014,2,399,Formal garden
1015,3,399,Shop
1016,4,399,Tea-room
1017,5,399,Temple of the Winds
1018,6,399,Trails
1019,7,399,Horsebox Catering Kiosk
1020,1,401,Guildhall
1021,2,401,Tea-room
1022,1,402,Countryside
1023,2,402,Nimmings Wood carpark
1024,1,405,Countryside
1025,1,403,Countryside
1026,1,406,Countryside
1027,1,407,House
1028,2,407,Adventure playground
1029,3,407,Below stairs tours
1030,4,407,Garden
1031,5,407,Park
1032,6,407,Ride Play Café
1033,7,407,Shop
1034,8,407,Stables Café
1035,1,409,Countryside
1036,1,408,Newtown National Nature Reserve
1037,2,408,Old Town Hall
